time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,average_latency
2021-05-05T20:47:36.000Z,13966,16283.999999999998,15242,16989,62481,1282.064800229128,1080.5888602309014,1204.982023356515,1155.0676319971747,1180.6758289534298
2021-05-05T20:47:37.000Z,14619,18375,17596,14943,65533,1381.7812435871126,1192.1898775510203,1222.5102295976358,1248.7109014254165,1261.2980630402963
2021-05-05T20:47:38.000Z,18912,18665,14696,16369,68642,1154.9899005922166,1003.2802571658184,1302.3840500816548,1304.2744822530392,1191.2321725231823
2021-05-05T20:47:39.000Z,18860,17324,14486,15124,65794,1078.5188759278897,1115.7500577233895,1370.72435454922,1166.109362602486,1182.7756627007464
2021-05-05T20:47:40.000Z,14941,14249,16640,14259,60089,1066.3230038150057,1238.0921468173206,1289.5237980769232,1266.1337400939758,1215.0181722008062
2021-05-05T20:47:41.000Z,15525,16444,14717,19397,66083,1266.0094685990339,1199.8361712478716,1237.0162397227696,1159.6645357529515,1215.6316038306566
2021-05-05T20:47:42.000Z,15409,20358,12050,19606,67423,1359.5450061652282,1137.8668336771784,1485.924398340249,986.3140875242273,1242.4125814267206
2021-05-05T20:47:43.000Z,16283.999999999998,16755,15557,15865,64461,1120.337509211496,1021.7308266189198,1409.3075785819888,1157.4146864166405,1177.1976502072612
2021-05-05T20:47:44.000Z,15163,16928,19612,13649,65352,1179.109147266372,1166.9491965973534,1214.9976035080563,1230.844604000293,1197.9751378430187
2021-05-05T20:47:45.000Z,15041,18373,18900,14203,66517,1259.6822684661925,1081.5528220758722,1036.0101058201058,1364.6626768992467,1185.4769683153543
2021-05-05T20:47:46.000Z,17434,18550,19254,14687,69925,1186.6880234025468,1046.96679245283,968.9694089539836,1314.161367195479,1129.19639800121
2021-05-05T20:47:47.000Z,18512,20746,17451,18208,74917,1113.6369382022472,1000.1175648317748,1147.7070654976792,1228.477262741652,1122.4847078183384
2021-05-05T20:47:48.000Z,20702,15151,14094,18722,68669,1031.293498212733,1032.1637515675534,1293.4353625656308,982.2808994765517,1084.7933779556172
2021-05-05T20:47:49.000Z,19747,14811,17202,16305,68065,928.2449992403909,1292.7489703598676,1263.1062085803976,1155.1924563017478,1159.8231586206011
2021-05-05T20:47:50.000Z,17608,14619,18229,17934,68390,1017.7772603362108,1309.4154866953963,1164.3861429590213,1078.8879223820675,1142.616703093174
2021-05-05T20:47:51.000Z,15557,19569,20526,16053,71705,1153.277752780099,1177.6587970770095,970.1800155899834,1141.7404223509625,1110.7142469495138
