time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,average_latency
2021-05-05T21:06:49.000Z,20608,23936,22400,17630,22400,26366,23040,23783,180163,62.240925854037265,55.43382352941177,60.434508928571425,62.77294384571753,55.285491071428574,55.583137373890615,56.734765625,54.56014800487743,57.88071802911683
2021-05-05T21:06:50.000Z,24192,19840,24704,21577,23808,24706,21504,20864,181195,60.2479332010582,65.79707661290323,61.41936528497409,65.01158641145665,58.24327956989247,62.39783858172104,63.73707217261905,63.41885544478528,62.534125909926246
2021-05-05T21:06:51.000Z,24575,24064,24576,21337,23994,23975,23040,27386,192947,54.37855544252289,51.516622340425535,55.600138346354164,57.10348221399447,56.06197382679003,55.267612095933266,55.65638020833333,51.477616300299424,54.632797596831644
2021-05-05T21:06:52.000Z,22529,22272,20992,25083,24262,21593,23424,20998,181153,58.64863065382396,58.60313397988506,60.62228467987805,53.07144280987123,56.46702662599951,62.06261288380494,54.10096482240437,61.47695018573197,58.13163083017489
2021-05-05T21:06:53.000Z,25856,23329,23296,18309,25088,24448,18816,23296,182438,54.76701732673267,55.69840113163873,58.90388907967033,68.03353541973893,54.16812818877551,57.890461387434556,61.14413265306123,57.57610748626374,58.52270908416446
2021-05-05T21:06:54.000Z,24064,23007,22144,24960,25856,21376,20608,25088,187103,50.174326795212764,52.40548528708654,55.544120303468205,53.90296474358974,51.475866336633665,56.46631736526946,53.56783773291925,50.50526147959184,53.005272505471424
2021-05-05T21:06:55.000Z,24320,24448,22784,21632,22784,22656,21632,22144,182400,52.670148026315786,53.66925719895288,53.97625526685393,57.716299926035504,56.75087780898876,55.863832980225986,55.94938054733728,53.82392521676301,55.05249712143414
2021-05-05T21:06:56.000Z,25088,21061,23821,22528,23296,22784,22272,24012,184862,53.43538743622449,58.95503537343906,54.659166281852144,55.15030184659091,53.85735748626374,57.187675561797754,56.4044540229885,55.810428119273695,55.68247576605378
2021-05-05T21:06:57.000Z,23040,23227,27379,20608,25571,22912,25647,23595,191979,60.940625,62.263873939811425,57.20256400891194,61.56206327639752,56.70771577177271,59.44854224860335,55.99153897141966,58.09400296673024,59.02636577295585
2021-05-05T21:06:58.000Z,25340,22400,26383,23424,22685,24832,23505,20361,188930,54.341949486977114,56.66424107142857,51.56104309593299,54.64737021857923,58.617368305047385,53.205984213917525,54.19081046585833,58.310692009233335,55.1924323583718
2021-05-05T21:06:59.000Z,25860,23256,25713,23552,20864,24806,21504,24448,190003,61.32138437741686,61.26423288613691,59.774783183603624,58.60597826086956,67.0929351993865,59.12759009916955,61.166713169642854,61.58601930628272,61.24245456031357
2021-05-05T21:07:00.000Z,22656,20008,19072,21376,19840,19482,19840,20864,163138,54.331744350282484,55.56792283086765,59.946203859060404,56.18937125748503,55.338407258064514,54.0407555692434,55.99717741935484,59.05315375766871,56.30809203775338
2021-05-05T21:07:01.000Z,23296,23680,22784,24576,22784,24448,23424,24704,189696,58.14362980769231,62.45342060810811,63.267248946629216,61.734700520833336,63.06724016853933,61.0007362565445,63.294185450819676,61.177704015544045,61.76735822183882
2021-05-05T21:07:02.000Z,24448,20992,26496,23680,20608,24320,23195,20352,184091,55.819249018324605,55.73570884146341,51.06567028985507,51.525,62.78450116459627,55.46513157894737,54.39478335848243,59.17497051886792,55.74562684631714
2021-05-05T21:07:03.000Z,24192,20239,21376,20111,24508,23625,20173,24320,178544,58.90075231481482,63.28766243391472,60.84707148203593,69.0375913679081,54.37910070181165,57.34789417989418,67.21231348832598,53.82948190789474,60.60523348457502
2021-05-05T21:07:04.000Z,22144,21105,24576,24876,24132,23351,22808,20992,183984,59.21301481213873,63.06183368869936,52.17333984375,55.83015758160476,56.43775899220952,55.96933750160593,55.02937565766398,60.85994664634146,57.321845590501724
