time,producer-service-1_throughput,total_throughput,producer-service-1_latency,average_latency
2021-05-05T19:18:14.000Z,47211,47211,240.3722225752473,240.3722225752473
2021-05-05T19:18:15.000Z,44141,44141,248.94610452866948,248.94610452866948
2021-05-05T19:18:16.000Z,46836,46836,239.82086429242463,239.82086429242463
2021-05-05T19:18:17.000Z,43862,43862,254.85087319319683,254.85087319319683
2021-05-05T19:18:18.000Z,47055,47055,242.03024120709807,242.03024120709807
2021-05-05T19:18:19.000Z,42387,42387,276.0947932149008,276.0947932149008
2021-05-05T19:18:20.000Z,47909,47909,224.67659521175563,224.67659521175563
2021-05-05T19:18:21.000Z,45115,45115,251.64335586833647,251.64335586833647
2021-05-05T19:18:22.000Z,43909,43909,253.8695711585324,253.8695711585324
2021-05-05T19:18:23.000Z,47343,47343,241.66440656485648,241.66440656485648
2021-05-05T19:18:24.000Z,46182,46182,238.56374778052054,238.56374778052054
2021-05-05T19:18:25.000Z,48213,48213,229.34575736834464,229.34575736834464
2021-05-05T19:18:26.000Z,44309,44309,258.4886817576565,258.4886817576565
2021-05-05T19:18:27.000Z,44940,44940,247.05605251446372,247.05605251446372
2021-05-05T19:18:28.000Z,47635,47635,226.87821979636823,226.87821979636823
2021-05-05T19:18:29.000Z,44996,44996,255.6406791714819,255.6406791714819
2021-05-05T19:18:30.000Z,45427,45427,246.11295044797146,246.11295044797146
2021-05-05T19:18:31.000Z,46998,46998,234.17622026469212,234.17622026469212
2021-05-05T19:18:32.000Z,42129,42129,266.9780198912863,266.9780198912863
2021-05-05T19:18:33.000Z,48932,48932,231.05313496280553,231.05313496280553
2021-05-05T19:18:34.000Z,44674,44674,245.38301920580204,245.38301920580204
2021-05-05T19:18:35.000Z,46020,46020,241.81525423728814,241.81525423728814
2021-05-05T19:18:36.000Z,44567,44567,253.83822110530213,253.83822110530213
2021-05-05T19:18:37.000Z,46527,46527,242.32967954091174,242.32967954091174
2021-05-05T19:18:38.000Z,44336,44336,253.58392728256948,253.58392728256948
2021-05-05T19:18:39.000Z,46187,46187,247.96767488687294,247.96767488687294
2021-05-05T19:18:40.000Z,45374,45374,248.86472429144445,248.86472429144445
2021-05-05T19:18:41.000Z,47241,47241,236.34370567938868,236.34370567938868
2021-05-05T19:18:42.000Z,48161,48161,234.84965013184942,234.84965013184942
2021-05-05T19:18:43.000Z,46374,46374,232.5366800362272,232.5366800362272
2021-05-05T19:18:44.000Z,44237,44237,253.73922282252414,253.73922282252414
2021-05-05T19:18:45.000Z,42992,42992,261.51551451432823,261.51551451432823
2021-05-05T19:18:46.000Z,45470,45470,248.4960413459424,248.4960413459424
2021-05-05T19:18:47.000Z,44098,44098,247.91729783663658,247.91729783663658
2021-05-05T19:18:48.000Z,48462,48462,233.27931162560355,233.27931162560355
2021-05-05T19:18:49.000Z,45941,45941,241.4875165973749,241.4875165973749
2021-05-05T19:18:50.000Z,43614,43614,260.51412390516805,260.51412390516805
2021-05-05T19:18:51.000Z,44482,44482,247.80120048558967,247.80120048558967
2021-05-05T19:18:52.000Z,41729,41729,275.2871144767428,275.2871144767428
2021-05-05T19:18:53.000Z,47194,47194,241.5334364537865,241.5334364537865
2021-05-05T19:18:54.000Z,45994,45994,239.87572292038092,239.87572292038092
2021-05-05T19:18:55.000Z,44007,44007,244.11570886449883,244.11570886449883
2021-05-05T19:18:56.000Z,43869,43869,268.5438920422166,268.5438920422166
2021-05-05T19:18:57.000Z,46729,46729,237.92852404288558,237.92852404288558
2021-05-05T19:18:58.000Z,45923,45923,228.68445005770528,228.68445005770528
2021-05-05T19:18:59.000Z,47349,47349,244.06278907685484,244.06278907685484
2021-05-05T19:19:00.000Z,46750,46750,242.23520855614973,242.23520855614973
2021-05-05T19:19:01.000Z,46913,46913,233.50344254257882,233.50344254257882
2021-05-05T19:19:02.000Z,43526,43526,259.55580572531363,259.55580572531363
2021-05-05T19:19:03.000Z,42456,42456,269.59108253250423,269.59108253250423
2021-05-05T19:19:04.000Z,42883,42883,260.9915584264161,260.9915584264161
2021-05-05T19:19:05.000Z,41843,41843,266.4922687187821,266.4922687187821
2021-05-05T19:19:06.000Z,46301,46301,238.71570808405866,238.71570808405866
2021-05-05T19:19:07.000Z,46812,46812,250.3768478167991,250.3768478167991
2021-05-05T19:19:08.000Z,46208,46208,238.50015148891967,238.50015148891967
2021-05-05T19:19:09.000Z,43443,43443,253.73560757774555,253.73560757774555
2021-05-05T19:19:10.000Z,44502,44502,255.01950474135995,255.01950474135995
2021-05-05T19:19:11.000Z,44041,44041,253.87477577711678,253.87477577711678
