time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,average_latency
2021-05-05T21:17:24.000Z,7459,5794,7387,8767,9182,11085,8600,8289,66563,1104.4910845957904,1245.0150155333104,1649.3864897793421,2387.5967833922664,2266.307122631235,909.6775823184483,1567.2248837209302,1724.339124140427,1606.7547607639685
2021-05-05T21:17:25.000Z,8281,10651,9813,9360,8138.999999999999,9353,9851,8419,73867,1326.8986837338487,1591.832973429725,1611.2305105472333,2459.725534188034,2301.165990907974,1104.0099433336898,1542.3376306973912,1923.9687611355268,1732.646253496678
2021-05-05T21:17:26.000Z,8141.999999999999,11260,8531,8009,7476,9477,11570,6422,70887,1313.78297715549,1275.4739786856128,1562.7456335716797,2084.6317892371085,2635.0073568753346,1048.6400759734092,1266.8569576490925,2000.8080037371535,1648.49334661061
2021-05-05T21:17:27.000Z,10801,7180,8404,8231,11854,10272,9856,7724,74322,1178.2234978242755,1248.941364902507,1576.44145644931,2387.9091240432513,2595.767420280074,1122.7665498442368,1278.0619926948052,2044.4764370792336,1679.0734803897117
2021-05-05T21:17:28.000Z,8603,10056,6673,7921,8098.000000000001,6165,9887,12361,69764,1075.4083459258397,1398.2397573587907,1705.6685149108348,2333.152884736776,2463.4028155100023,1325.9143552311436,1290.5147162941237,1796.4414691368013,1673.592857388039
2021-05-05T21:17:29.000Z,7028,6648,10796,6543,7976,10128,10533,11677,71329,1344.428002276608,1561.3134777376654,1624.359207113746,2540.0933822405623,2396.0887662988966,1291.197867298578,1351.5006171081363,1211.2519482743855,1665.0291585435725
2021-05-05T21:17:30.000Z,8154.999999999999,7893,9293,12513,11919,11045,8090.999999999999,10592,79501,1293.310361741263,1717.005954643355,1356.9048746368235,2350.8036442100215,2417.5096904102693,1108.4963331824356,1536.2050426399703,1455.1148980362539,1654.418849937549
2021-05-05T21:17:31.000Z,8968,9497,6960,8511,8906,11272,8711,5451,68276,1299.5783898305085,1467.020953985469,1716.125287356322,1903.0613323933733,2326.7163709858523,910.8726933995741,1490.803811273103,1770.518253531462,1610.5871365944581
2021-05-05T21:17:32.000Z,8964,9282,11261,7567,13042,9156,9795,9915,78982,1149.444109772423,1432.7718164188752,1460.0066601545157,2086.5724857935775,2161.224045391811,1095.6930974224551,1580.8868810617662,1936.036510337872,1612.829450794162
2021-05-05T21:17:33.000Z,10148,11419,7687,7919,8717,9329,10432,7688,73339,1202.6218959400867,1215.7341273316401,1493.4709249382074,2364.612956181336,2045.0088333142137,1116.6730624933004,1386.7329371165645,1776.067898022893,1575.1153294172802
