time,producer-service-10_throughput,producer-service-11_throughput,producer-service-12_throughput,producer-service-13_throughput,producer-service-14_throughput,producer-service-15_throughput,producer-service-16_throughput,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,producer-service-9_throughput,total_throughput,producer-service-10_latency,producer-service-11_latency,producer-service-12_latency,producer-service-13_latency,producer-service-14_latency,producer-service-15_latency,producer-service-16_latency,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,producer-service-9_latency,average_latency
2021-05-05T22:14:59.000Z,10240,11136,9216,11136,10677,10112,10619,11776,9443,10496,10177,11136,9472,11502,10368,9777,167283,2868.49150390625,3013.8003771551726,3096.0633680555557,2875.4013110632186,2800.2148543598387,2778.4742879746836,2917.229023448536,2782.1700067934785,3081.1280313459706,2933.8671875,3025.8475975238284,2915.6732219827586,2852.371410472973,2917.278386367588,2683.9305555555557,2926.110156489721,2904.2532049996958
2021-05-05T22:15:00.000Z,10320,13152,9728,12032,11723,11136,11648,11136,10752,12032,11731,12171,10752,12928,13256,11355,185852,2719.512984496124,3039.4958181265206,2929.9431537828946,2786.4631815159573,2906.4260001706048,2861.4059806034484,2742.9429945054944,2952.1964798850577,2777.5871465773807,2752.6092087765956,2668.6341317875713,2986.0990058335387,2937.3478422619046,2788.6154084158416,2901.2002112251057,2752.251254953765,2843.9206751823626
2021-05-05T22:15:01.000Z,9008,9888,8064,10112,9728,9088,9735,9472,8832,9344,9645,9413,9088,9807,10174,9073,150471,2825.8621225577263,3221.4934263754044,3205.5462549603176,2945.6939280063293,2971.0932360197367,3123.190691021127,2735.2106831022083,2940.3252744932433,2933.427536231884,3194.9322559931506,2944.448626231208,3268.1562732391376,3275.3850132042253,2948.8104415213625,3258.5921957931982,3253.205775377494,3065.335858382985
2021-05-05T22:15:02.000Z,11136,11891,9600,12032,11353,10368,11513,11648,11068,11008,11054,11952,10112,11825,12282,10383,179225,2945.9527658045977,3088.0737532587673,3007.811041666667,2976.4931848404253,2914.866643178015,2929.3038194444443,2837.3700165030837,2957.619076236264,2892.948500180701,3012.9206031976746,2824.668355346481,2928.153112449799,3029.1633702531644,3015.34088794926,2929.702328610975,3031.1625734373497,2957.5968770223544
2021-05-05T22:15:03.000Z,9088,9229,7808,10368,9767,9472,9344,9521,8908,9984,10066,9728,8960,10108,9984,9216,151551,2925.440691021127,3047.871708744176,3070.6278176229507,3055.644772376543,2968.785297430122,3025.015625,3021.2139340753424,3108.827854216994,2785.014593623709,2983.3662860576924,3023.204848003179,3009.3423108552633,2924.8796875,3070.518005540166,3052.222155448718,3126.900390625,3012.4297486338114
2021-05-05T22:15:04.000Z,10496,11392,8960,10752,10657,9984,11264,10703,11384,10112,10368,10752,10112,11181,11229,9856,169202,3189.610899390244,3219.220066713483,3094.8160714285714,3175.222191220238,3257.238997841794,3147.5440705128203,3082.3401100852275,3032.309819676726,3056.05946943078,3090.0696202531644,3182.254822530864,3071.8065476190477,3200.7013449367087,3182.3234057776585,3237.7000623385875,3168.0928368506493,3149.2068960379106
2021-05-05T22:15:05.000Z,9216,10208,8192,10880,10335,8320,10368,10112,9600,10240,10445,10624,7936,10583,10659,8833,156551,2935.3203125,2767.4675744514107,2870.1719970703125,2866.0246323529414,2751.634833091437,3243.5495192307694,2974.6567322530864,2900.309137658228,2742.1345833333335,2835.4001953125,3037.84557204404,2662.6001506024095,3004.606980846774,2957.592365113862,2774.452575288489,2942.7320276236837,2891.6561992983293
2021-05-05T22:15:06.000Z,9984,12064,10337,11776,12672,11264,11136,11520,11904,12800,10803,13030,10752,10752,12672,11007,184473,3571.2616185897436,3151.6564157824932,3061.0695559640126,3185.8487601902175,3221.5517676767677,3255.440518465909,3511.1196120689656,3515.0407986111113,3091.2709173387098,3045.47890625,3378.29741738406,3157.263852647736,3322.6989397321427,3520.909691220238,3344.4301609848485,3136.6932860906695,3279.3770136873513
2021-05-05T22:15:07.000Z,9472,10082,8991,10880,10366,10236,9984,9984,10624,10624,9984,10394,9216,10368,9984,9044,160233,3467.035050675676,3042.2505455266814,2906.5172950728506,3124.9720588235296,3047.0409994211846,2865.9273153575614,3339.2538060897436,3027.2481971153848,3153.3026167168673,2913.706137048193,3320.587139423077,2929.1554743121033,3245.4962022569443,3572.4569830246915,3072.8854166666665,3257.026094648386,3142.803833261221
2021-05-05T22:15:08.000Z,9344,12062,9984,10752,11394,10756,10624,10852,11392,12032,10496,11648,9269,9856,12032,10796,173289,3591.3019049657532,3141.706599237274,3016.3314302884614,3408.057198660714,3089.065121994032,2930.1367608776495,3557.300734186747,3373.3329340213786,3142.31952247191,2978.0712267287236,3441.390243902439,3282.3265796703295,3200.3615276728883,3468.66893262987,3119.94024268617,2953.079566506113,3230.8369079062786
