time,producer-service-1_throughput,producer-service-2_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,average_latency
2021-05-05T19:54:35.000Z,27690,32473.999999999996,60164,602.5655110148068,421.40586315206014,511.9856870834335
2021-05-05T19:54:36.000Z,28973,26675,55648,668.1419942705278,419.1186129334583,543.6303036019931
2021-05-05T19:54:37.000Z,28210,28459,56669,610.0666075859624,473.90010190098036,541.9833547434714
2021-05-05T19:54:38.000Z,27390,26985,54375,655.6189485213581,419.547859922179,537.5834042217685
2021-05-05T19:54:39.000Z,31775,30592,62367,599.1569787568843,443.8994181485356,521.52819845271
2021-05-05T19:54:40.000Z,32593.000000000004,31438,64031,533.2187586291535,423.6049048921687,478.41183176066113
2021-05-05T19:54:41.000Z,30814,32864,63678,586.8910884662815,366.9122748296008,476.90168164794113
2021-05-05T19:54:42.000Z,34240,28036,62276,544.7829731308411,436.605257526038,490.6941153284396
2021-05-05T19:54:43.000Z,30939,30459,61398,529.9087236174407,441.80879214682034,485.85875788213053
2021-05-05T19:54:44.000Z,29965,26313,56278,580.526747872518,458.6437502375252,519.5852490550216
2021-05-05T19:54:45.000Z,28842,28170,57012,668.9603009500034,433.24142705005323,551.1008640000283
2021-05-05T19:54:46.000Z,30126,28637,58763,580.2230299409148,447.9256905402102,514.0743602405626
2021-05-05T19:54:47.000Z,29003,29720,58723,615.7068234320587,435.0836137281292,525.395218580094
2021-05-05T19:54:48.000Z,27201,26672,53873,626.5685085107165,455.30995050989804,540.9392295103073
2021-05-05T19:54:49.000Z,29493,29778,59271,656.3032584002984,399.9490227684868,528.1261405843926
2021-05-05T19:54:50.000Z,26342,27939,54281,682.6062182066662,478.71230180035076,580.6592600035085
2021-05-05T19:54:51.000Z,28806,21569,50375,593.0981045615497,536.742871714034,564.9204881377918
2021-05-05T19:54:52.000Z,27126,31348,58474,673.1473125414731,445.91492280209263,559.5311176717828
2021-05-05T19:54:53.000Z,27026,29241,56267,701.0044771701324,401.07403987551726,551.0392585228249
2021-05-05T19:54:54.000Z,28333,25716,54049,638.5849009988352,495.26508788303005,566.9249944409327
2021-05-05T19:54:55.000Z,28600,26181,54781,613.0936363636364,477.4674764141935,545.280556388915
2021-05-05T19:54:56.000Z,28336,26443,54779,666.3111236589498,451.62780319933444,558.9694634291421
2021-05-05T19:54:57.000Z,29090,26686,55776,579.0541766930216,510.5975792550401,544.8258779740308
2021-05-05T19:54:58.000Z,24441,30755,55196,706.1744609467697,425.6547228092993,565.9145918780346
2021-05-05T19:54:59.000Z,22748,29053,51801,771.9591612449447,398.32182562902284,585.1404934369838
2021-05-05T19:55:00.000Z,31355,26193,57548,604.2464040822836,506.87603558202574,555.5612198321546
2021-05-05T19:55:01.000Z,24628,29692,54320,723.3928861458503,418.9235484305537,571.158217288202
2021-05-05T19:55:02.000Z,31795,30133,61928,571.5750589715364,436.54037102180337,504.05771499666986
2021-05-05T19:55:03.000Z,30766,26365,57131,582.8961840993304,444.63239142802956,513.7642877636799
2021-05-05T19:55:04.000Z,26163,31614,57777,701.2591063715935,424.4914278484216,562.8752671100076
2021-05-05T19:55:05.000Z,24438,27218,51656,706.4771667075865,419.3307370122713,562.903951859929
2021-05-05T19:55:06.000Z,24772,27918,52690,718.3459954787663,441.54971702844045,579.9478562536034
2021-05-05T19:55:07.000Z,28609,26415,55024,631.0742773253172,499.1130796895703,565.0936785074438
2021-05-05T19:55:08.000Z,29302,23881,53183,644.5566855504744,510.14149323730163,577.349089393888
2021-05-05T19:55:09.000Z,26053,25909,51962,633.7181514604844,494.75522019375506,564.2366858271197
2021-05-05T19:55:10.000Z,28017,27466,55483,681.2507049291502,462.2861355858152,571.7684202574827
2021-05-05T19:55:11.000Z,29798,25114,54912,618.1833008926774,475.1579597037509,546.6706302982142
2021-05-05T19:55:12.000Z,27561,26276,53837,616.7540365008526,482.87905312833004,549.8165448145913
2021-05-05T19:55:13.000Z,28371,25265,53636,618.0320750061683,516.7413021967149,567.3866886014416
2021-05-05T19:55:14.000Z,22751,29733,52484,778.0667223418751,437.18023744660815,607.6234798942417
2021-05-05T19:55:15.000Z,31370,27156,58526,625.6317182021039,436.39943290617174,531.0155755541379
2021-05-05T19:55:16.000Z,26599,30442,57041,660.6267528854469,429.9755272321135,545.3011400587802
2021-05-05T19:55:17.000Z,24929,26594,51523,681.5442657146295,468.9160712942769,575.2301685044532
2021-05-05T19:55:18.000Z,26226,25633,51859,739.4167619919165,461.69734326844303,600.5570526301798
2021-05-05T19:55:19.000Z,28341,32049,60390,614.7888218482058,420.0256482261537,517.4072350371797
2021-05-05T19:55:20.000Z,25760,25947,51707,686.809899068323,479.06925656145216,582.9395778148876
2021-05-05T19:55:21.000Z,24440,29796,54236,701.2530278232406,401.7828231977447,551.5179255104927
2021-05-05T19:55:22.000Z,26472,26141,52613,699.5912284678151,467.8685589686699,583.7298937182425
2021-05-05T19:55:23.000Z,27250,27113,54363,695.2300183486238,484.2984914985431,589.7642549235835
2021-05-05T19:55:24.000Z,30132,26535,56667,606.2933094384707,493.99223666855096,550.1427730535108
2021-05-05T19:55:25.000Z,30666,25960,56626,596.7097436900802,466.64348998459167,531.6766168373359
2021-05-05T19:55:26.000Z,29403,25627,55030,634.6543549977894,491.3735513325789,563.0139531651841
2021-05-05T19:55:27.000Z,24229,27466,51695,639.4054232531264,475.9307507463773,557.6680869997518
2021-05-05T19:55:28.000Z,29018,28657,57675,682.0678544351782,439.83054751020694,560.9492009726926
2021-05-05T19:55:29.000Z,29988,25565,55553,611.9307723089236,472.6413064736945,542.286039391309
2021-05-05T19:55:30.000Z,28836,30660,59496,591.8602094603967,432.80554468362686,512.3328770720118
2021-05-05T19:55:31.000Z,28554,30785,59339,668.9674651537438,386.94143251583563,527.9544488347897
2021-05-05T19:55:32.000Z,34007,24225,58232,520.6874761078601,533.7982249742003,527.2428505410302
2021-05-05T19:55:33.000Z,28499,27703,56202,615.5476332502894,440.9010937443598,528.2243634973246
2021-05-05T19:55:34.000Z,28507,26934,55441,632.7244536429649,464.77370609638376,548.7490798696743
2021-05-05T19:55:35.000Z,27964,27027,54991,633.1256973251324,466.5061605061605,549.8159289156464
2021-05-05T19:55:36.000Z,28964,26141,55105,626.4346775307278,490.63088634711755,558.5327819389227
2021-05-05T19:55:37.000Z,27139,30944,58083,645.2480194553963,426.52394648397103,535.8859829696837
2021-05-05T19:55:38.000Z,27784,26149,53933,667.8546645551396,459.9841294122146,563.9193969836771
2021-05-05T19:55:39.000Z,26665,28029,54694,640.5272829551847,455.490777409112,548.0090301821483
2021-05-05T19:55:40.000Z,29232,26896,56128,647.6994731800767,436.9993307555027,542.3494019677896
2021-05-05T19:55:41.000Z,24724,28038,52762,712.0728441999677,490.5654468935017,601.3191455467347
2021-05-05T19:55:42.000Z,24943,28394,53337,710.9974742412701,414.3596534479115,562.6785638445908
2021-05-05T19:55:43.000Z,32183,29201,61384,600.3615573439394,449.8044587514126,525.083008047676
2021-05-05T19:55:44.000Z,30774,28977,59751,569.2147267173588,424.70907961486694,496.96190316611285
2021-05-05T19:55:45.000Z,33164,26445,59609,512.6960559642987,477.55379088674607,495.1249234255224
2021-05-05T19:55:46.000Z,28159,30377,58536,617.7892325721795,427.2606906541133,522.5249616131464
2021-05-05T19:55:47.000Z,25730,27740,53470,670.0082782743879,430.0648882480173,550.0365832612026
2021-05-05T19:55:48.000Z,26646,26537,53183,716.4189371763116,463.5033726495082,589.9611549129099
2021-05-05T19:55:49.000Z,26869,29387,56256,629.6818638579776,454.2313948344506,541.9566293462142
