time,producer-service-1_throughput,producer-service-2_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,average_latency
2021-05-05T19:39:34.000Z,54272,54272,108544,15.516748968160377,15.67845297759434,15.597600972877359
2021-05-05T19:39:35.000Z,52224,52224,104448,15.893439797794118,15.65692018995098,15.775179993872548
2021-05-05T19:39:36.000Z,53248,52668,105916,16.173020582932693,16.006227690438216,16.089624136685455
2021-05-05T19:39:37.000Z,52224,51780,104004,15.980296415441176,16.52502896871379,16.252662692077482
2021-05-05T19:39:38.000Z,55296,53248,108544,15.624584056712964,15.782207782451923,15.703395919582444
2021-05-05T19:39:39.000Z,52224,53248,105472,16.150122549019606,15.738675631009615,15.94439909001461
2021-05-05T19:39:40.000Z,53248,53248,106496,16.090482271634617,15.64922626201923,15.869854266826923
2021-05-05T19:39:41.000Z,53248,55296,108544,16.00103290264423,15.486979166666666,15.744006034655449
2021-05-05T19:39:42.000Z,52274,54272,106546,16.11020775146344,15.494803950471699,15.80250585096757
2021-05-05T19:39:43.000Z,53198,51200,104398,15.914432873416294,16.11927734375,16.016855108583147
2021-05-05T19:39:44.000Z,54272,54272,108544,15.801573555424529,15.664228331367925,15.732900943396228
2021-05-05T19:39:45.000Z,53248,53248,106496,16.098876953125,16.355374849759617,16.227125901442307
2021-05-05T19:39:46.000Z,53248,53248,106496,15.899583082932692,16.024977463942307,15.9622802734375
2021-05-05T19:39:47.000Z,52224,52224,104448,16.31121706495098,16.231713388480394,16.271465226715687
2021-05-05T19:39:48.000Z,51200,52224,103424,15.98828125,16.182942708333332,16.085611979166664
2021-05-05T19:39:49.000Z,45056,47104,92160,19.785666725852273,18.431131114130434,19.10839891999135
2021-05-05T19:39:50.000Z,53248,54272,107520,15.97772686298077,15.551573555424529,15.76465020920265
2021-05-05T19:39:51.000Z,53256,55296,108552,15.643889890340995,15.630045572916666,15.63696773162883
2021-05-05T19:39:52.000Z,53240,53248,106488,16.162321562734785,15.993145282451923,16.077733422593354
2021-05-05T19:39:53.000Z,51200,53248,104448,16.18080078125,16.363694411057693,16.272247596153846
2021-05-05T19:39:54.000Z,33792,34816,68608,21.713600852272727,21.37747012867647,21.5455354904746
2021-05-05T19:39:55.000Z,30720,30720,61440,35.6962890625,36.41207682291667,36.05418294270834
2021-05-05T19:39:56.000Z,44032,44032,88064,20.278910792151162,19.729810138081394,20.004360465116278
2021-05-05T19:39:57.000Z,52224,54272,106496,15.94931449142157,15.553158166273585,15.751236328847577
