time,producer-service-10_throughput,producer-service-11_throughput,producer-service-12_throughput,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,producer-service-9_throughput,total_throughput,producer-service-10_latency,producer-service-11_latency,producer-service-12_latency,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,producer-service-9_latency,average_latency
2021-05-05T21:55:31.000Z,5591,5305,5680,5955,6112,6047,6293,4897,5209,5540,6204,4050,66883,3521.8959041316402,1832.385862393968,2445.088204225352,3973.03811922754,1857.8457133507854,2047.3914337688109,3913.2836484983313,4787.331018991219,3498.309080437704,1539.527797833935,3006.3072211476465,3593.947901234568,3001.362658770125
2021-05-05T21:55:32.000Z,5777,6208,5909,4765,5942,5065,5646,6202,6573,5582,6104,5845,69618,3585.1171888523454,1592.9734213917525,2575.759857843967,4284.493599160545,2074.8367553012454,2276.1676209279367,3977.7685086787105,4655.256368913254,3069.4373954054468,1460.1628448584736,3170.605340760157,3634.893413173653,3029.7893596056238
2021-05-05T21:55:33.000Z,5671,5065,6351,5001,5618,5520,6304,5726,3750,5449,6034,5996,66485,3859.4501851525306,1498.0967423494571,2412.1354117461815,4551.109978004399,2108.312744749021,2266.4434782608696,3785.1664022842638,4689.47956688788,2968.3584,1617.913929161314,3218.1557838912827,3599.239659773182,3047.8218568550315
2021-05-05T21:55:34.000Z,2623,5988,5772,5347,5630,4468,5731,7201,2722,5385,5142,5604,61613,4279.3381624094545,1561.5472611890448,2302.011088011088,4675.037965214139,2148.5932504440498,2433.9632945389435,3878.2434130169254,4475.176642133037,3580.340191036003,1489.5630454967502,3273.9945546479967,3612.3756245538902,3142.515374390943
2021-05-05T21:55:35.000Z,5434,5118,6395,6321,5482,3943,4892,6522,7060,6211,5610,7088,70076,4546.750644092749,1485.400156311059,2353.802658326818,4666.390128144281,2252.4635169646112,2571.688308394623,4279.70278004906,4376.386997853419,3553.68895184136,1423.5739816454677,3284.307486631016,3511.6159706546277,3192.1476317424253
2021-05-05T21:55:36.000Z,4891,5392,6159,4572,5564,6569,5829,6567,7092,3839,5169,4965,66608,4540.520752402372,1612.2461053412462,2416.0889754830328,4862.573490813648,2385.200934579439,2484.65108844573,4251.35855206725,4299.716917922948,3401.78285391991,1661.0140661630633,3573.9763977558523,3366.294259818731,3237.952032892769
2021-05-05T21:55:37.000Z,5369,5744,4757,6962,4534,4332,5401,6437,5772,6118,4324,6142,65892,4692.635872601974,1632.0078342618385,2361.6430523439144,4851.705544383798,2438.945081605646,2246.567867036011,4321.455286058137,4134.398011496039,2622.9138946638946,1753.324615887545,3700.563135985199,3573.206935851514,3194.1139276812933
2021-05-05T21:55:38.000Z,8287,6444,2947,6290,3118,4511,5701,8728,3529,4937,7240,7595,69327,4305.326656208519,1473.8566108007449,2822.031557516118,4508.876947535771,2629.350865939705,2553.869651961871,4415.913173127521,3950.3394821264897,2802.3193539246245,1554.242454932145,3725.4479281767954,3335.964318630678,3173.1282500734155
2021-05-05T21:55:39.000Z,6007,7022,7685,5483,8540,6011,6050,5714,7075,5525,4772,7459,77343,3586.342933244548,1372.2658786670465,2979.0668835393626,4457.1887652744845,2664.242037470726,2628.7838961903176,4328.698347107438,3962.721211060553,3105.7441696113074,1655.7466063348415,3540.621332774518,3253.129776109398,3127.879319782045
2021-05-05T21:55:40.000Z,5264,5963,4873,4835,5870,5439,5639,5157,4713,3976,6403,5591,63723,3375.7156155015196,1264.5886298842863,2930.1982351734046,4496.711065149948,2049.6166950596253,2210.6223570509283,4243.886859372229,4110.612565445026,3242.956503288776,1646.871981891348,3320.776667187256,2945.336970130567,2986.4911787612423
2021-05-05T21:55:41.000Z,5910,7311,6304,6351,6350,5710,6773,6670,5585,4529,5878,6097,73468,3428.310152284264,1325.7681575707838,2510.048223350254,4578.141237600378,1986.6973228346458,2139.0073555166373,4205.321423298391,4188.334932533733,3339.534467323187,1821.1207772135128,3244.0355563116705,3134.0360833196655,2991.6963074297605
2021-05-05T21:55:42.000Z,4755,5854,4777,4874,7435,6768,5082,5507,5146,5135,7018,5444,67795,3804.687276550999,1353.8816194055346,2680.4781243458237,4659.351867049651,2060.383322125084,2132.249113475177,4078.0062967335693,4324.723987652079,3151.192382432958,1814.459006815969,3187.845255058421,3410.2946362968405,3054.796073995176
2021-05-05T21:55:43.000Z,5224,5520,6214,5513,6868,6518,5690,5570,5840,5762,5664,5792,70175,4098.528139356815,1556.8351449275362,2610.466205342774,4731.953745692001,1944.1674432149098,1984.745934335686,4198.515114235501,4753.391382405745,3180.5400684931506,1552.236549809094,3113.5377824858756,3474.47341160221,3099.949243491775
2021-05-05T21:55:44.000Z,5429,4560,5883,5470,6950,5594,5617,5413,6112,4964,5955,4444,66391,4255.983790753362,1642.6945175438595,2514.773074961754,4840.410786106033,1959.2915107913668,1897.623882731498,4208.729214883389,4911.731387400702,2900.3507853403144,1531.4961724415793,3102.584550797649,3722.810306030603,3124.039998315176
2021-05-05T21:55:45.000Z,7280,6609,5909,5896,5744,6091,6062,4744,7231,5668,5212,5220,71666,4069.1744505494507,1695.7079739748826,2393.2868505669317,4656.215739484396,2022.036385793872,2092.751436545723,4146.618277796107,4894.9586846543,2729.6104273267874,1691.037579393084,3233.9125095932463,3851.2124521072797,3123.0435639821712
2021-05-05T21:55:46.000Z,6605,7087,4909,5025,7496,4334,4958,7029,4490,4931,6363,7123,70350,3709.481302043906,1213.8969944969663,2654.934813607659,4750.894925373134,2046.1534151547492,2402.838717120443,4407.429608713191,4859.862427087779,2733.1458797327396,1526.0352869600488,3433.686625805438,3917.805980626141,3138.0138313935167
2021-05-05T21:55:47.000Z,7590,6008,6475,6653,5548,6291,5149,5979,6487,6098,5056,5853,73187,3310.800131752306,1306.3200732356856,2697.955366795367,4646.507740868781,2000.9821557317953,2234.8596407566365,4362.297533501651,4792.519317611641,2878.028518575613,1480.3635618235487,3472.2049050632913,3599.508969759098,3065.1956596229506
2021-05-05T21:55:48.000Z,6023,6057,5484,5962,4468,4363,6012,4943,4887,4469,5856,4756,63280,3091.9384027893075,1479.225524186891,2576.3584974471187,4418.865145924186,2264.872873769024,2295.2876461150586,4242.616932801065,4718.4165486546635,3051.793124616329,1568.0436339225778,3481.1782786885246,3514.3456686291,3058.5785231286536
