time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,average_latency
2021-04-20T17:10:49.000Z,41984,39731,38912,38487,37888,197002,22506.80244855183,22497.925020764644,22511.27415707237,22511.463792969054,22525.192066089527,22510.531497089483
2021-04-20T17:10:50.000Z,37193,37440,41486,36864,39861,192844,23648.293146559838,23677.475267094018,23650.311816034326,23658.886908637152,23659.825242718445,23658.958476208758
2021-04-20T17:10:51.000Z,39270,38336,38386,36864,37963,190819,24797.79811560988,24799.29014503339,24822.074688688583,24801.891493055555,24814.778336801624,24807.166555837808
2021-04-20T17:10:52.000Z,36177,33792,34816,36518,34816,176119,25763.679188434642,25776.585967092804,25770.419835707722,25757.308614929625,25774.322466681984,25768.463214569358
2021-04-20T17:10:53.000Z,38912,37888,40960,38234,38912,194906,26814.321957236843,26806.918654983107,26820.69931640625,26828.156902233615,26837.08570620888,26821.43650741374
2021-04-20T17:10:54.000Z,37888,37939,36864,37000,37888,187579,27916.3505859375,27870.265004349087,27911.67418077257,27891.30181081081,27891.099899704393,27896.13829631487
2021-04-20T17:10:55.000Z,34816,37837,35453,34680,32922,175708,28861.373046875,28838.753970980786,28835.919499055086,28820.75703575548,28857.511269060204,28842.86296434531
2021-04-20T17:10:56.000Z,40155,38912,38546,37888,39782,195283,29951.195890922674,29942.221088610197,29949.799330669848,29940.780431798987,29949.60874264743,29946.721096929825
2021-04-20T17:10:57.000Z,35621,38912,37617,39936,38912,190998,31101.40815810898,31126.80247738487,31117.42658904219,31115.21667167468,31131.042120682567,31118.37920337866
2021-04-20T17:10:58.000Z,37888,39936,37888,35840,38912,190464,32178.164616765203,32167.20843349359,32168.523384712837,32161.603180803573,32181.384560032893,32171.376835161624
2021-04-20T17:10:59.000Z,34816,38912,34816,36320,33792,178656,33167.792451746325,33161.97805304276,33171.783203125,33156.235490088104,33180.178888494316,33167.5936172993
2021-04-20T17:11:00.000Z,36864,42993,37888,39963,39230,196938,34217.20111762153,34224.567766845765,34232.85190561655,34186.31348997823,34218.46696405812,34215.88024882404
2021-04-20T17:11:01.000Z,37888,38762,38992,40603,39524,195769,35337.39302681588,35350.13804757236,35339.66529031596,35315.49126911804,35349.06565631009,35338.350658026466
2021-04-20T17:11:02.000Z,40960,42149,41904,39786,43677,208476,36529.95473632812,36533.57728534485,36510.960385643375,36526.55454179862,36515.18256748403,36523.2459033198
2021-04-20T17:11:03.000Z,38912,39936,40960,38912,38337,197057,37801.88306949013,37819.049879807695,37817.42932128906,37826.84153988487,37833.77588230691,37819.79593855573
2021-04-20T17:11:04.000Z,38912,39936,37888,37888,38433,193057,38997.94893606086,39027.793770032054,38997.65593327703,38983.39775126689,38999.95951395936,39001.351180919235
2021-04-20T17:11:05.000Z,39936,39936,35840,38912,39391,194015,40209.10950020032,40218.52611678686,40202.53839285715,40208.18210320724,40231.49417379605,40213.97005736952
2021-04-20T17:11:06.000Z,39936,40339,39936,41984,39936,202131,41436.78185096154,41427.162002032775,41428.506911057695,41417.44695598323,41433.441606570515,41428.66786532116
2021-04-20T17:11:07.000Z,37888,38124,38902,40960,39936,195810,42625.59565033784,42614.44216241738,42641.53585933885,42617.098364257814,42623.1988681891,42624.37418090819
2021-04-20T17:11:08.000Z,36864,37249,38922,36383,38912,188330,43786.28830295139,43785.55443099143,43810.012537896306,43789.31811560344,43802.6597707648,43794.76663164147
2021-04-20T17:11:09.000Z,38912,40214,39126,36321,39936,194509,44875.83727384869,44884.62886059581,44884.915733783164,44900.538724154074,44919.25500801282,44893.03512007891
