time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,average_latency
2021-04-20T17:15:58.000Z,13961,16070,12125,14902,11698,68756,1151.8129790129647,898.1756067205974,901.4096494845361,1240.6859481948732,1341.337579073346,1106.6843524972635
2021-04-20T17:15:59.000Z,12979,14471,15915,14820,14600,72785,1109.5657600739657,973.2745490981964,922.8239396795476,1234.9719973009446,1313.730205479452,1110.8732903264213
2021-04-20T17:16:00.000Z,14100,12951,14032,13044,14754,68881,1104.3810638297873,992.0323527140762,926.1879988597492,1318.550597976081,1354.9896299308662,1139.228328662112
2021-04-20T17:16:01.000Z,12841,13528,13538,14366,12745,67018,1093.3021571528698,929.9237137788291,908.4979317476732,1285.3264652652094,1342.9162024323264,1111.9932940753818
2021-04-20T17:16:02.000Z,14423,13846,14586,12616,13611,69082,1113.6947237051932,937.0318503538928,953.7746469217058,1318.1768389346862,1345.38094188524,1133.6118003601437
2021-04-20T17:16:03.000Z,14085,14171,11785,14073,13568,67682,1143.3519346822861,974.283889633759,969.4610946117947,1300.239039295104,1401.4357311320755,1157.7543378710038
2021-04-20T17:16:04.000Z,13618,13520,13983,14324,13176,68621,1109.0051402555441,960.5365384615385,931.3303296860473,1260.7084613236525,1355.6168032786886,1123.4394546010942
2021-04-20T17:16:05.000Z,13295,13238,14669,14456,13795,69453,1102.6351259872133,949.9778667472428,914.7693094280455,1309.7382401770892,1358.538093512142,1127.1317271703467
2021-04-20T17:16:06.000Z,14630,12840,15031,12199,13600,68300,1110.3322624743678,1025.5290498442369,944.8546337569024,1257.2943683908518,1360.257794117647,1139.6536217168011
2021-04-20T17:16:07.000Z,13752,13943,13521,14804,13125,69145,1037.082315299593,952.3986946855052,911.6542415501812,1259.5728857065658,1284.1843047619047,1088.97848840075
2021-04-20T17:16:08.000Z,14521,14486,13389,13948,15472,71816,1103.1766407272225,921.2789589948916,931.1525132571514,1305.8570404359048,1251.6346949327817,1102.6199696695905
2021-04-20T17:16:09.000Z,13928,12697,14123,13953,14191,68892,1084.8895749569213,982.0329999212412,959.3874530907032,1275.2116390740343,1333.007469522937,1126.9058273131673
2021-04-20T17:16:10.000Z,14090,14110,12850,13158,13264,67472,1079.3078069552873,952.8621545003543,954.5173540856031,1227.874297005624,1394.6753618817852,1121.8473948857306
2021-04-20T17:16:11.000Z,15461,14771,13614,14243,12683,70772,1090.81695879956,946.9273576602802,945.1914205964448,1321.7849469915045,1321.2765118662776,1125.1994391828134
2021-04-20T17:16:12.000Z,13870,12070,14755,13309,14335,68339,1082.8097332372026,952.5615575807788,899.5415791257201,1289.5376061311895,1293.973700732473,1103.6848353614728
2021-04-20T17:16:13.000Z,14466,15372,13963,14821,14296,72918,1108.558965850961,937.297619047619,944.9602520948221,1266.9267255920654,1302.65437884723,1112.0795882865393
2021-04-20T17:16:14.000Z,13840,12717,12878,13360,14287,67082,1089.4151734104046,934.57167570968,939.1633794067402,1223.9384730538923,1234.3372296493314,1084.2851862460097
2021-04-20T17:16:15.000Z,13969,14543,13828,13379,15913,71632,1107.2252845586656,922.4827064567146,926.4048307781313,1240.411540473877,1274.9117702507383,1094.2872265036253
2021-04-20T17:16:16.000Z,15290,15099,15563,16424,13558,75934,1118.0080444735122,958.2408768792635,880.3619482104992,1219.6865562591329,1281.3813984363476,1091.535764851751
2021-04-20T17:16:17.000Z,12653,13453,14671,13535,15063,69375,1126.5099976290207,1027.4247379766596,861.756321995774,1237.227188769856,1289.7537675097922,1108.5344027762205
2021-04-20T17:16:18.000Z,13497,13350,14652,14398,14144,70041,1064.9788101059494,884.7697378277154,883.5825825825826,1198.6882900402834,1250.9723557692307,1056.5983552651523
2021-04-20T17:16:19.000Z,15188,14819,15771,15262,14005,75045,1084.819791941006,939.8594372089884,908.0453997844145,1272.0085178875638,1326.9880042841842,1106.3442302212313
2021-04-20T17:16:20.000Z,13901,13780,12471,13199,12845,66196,1135.8310193511259,925.4317851959362,952.1910833132869,1258.3413894992045,1396.758505254963,1133.7107565229032
