time,producer-service-1_throughput,total_throughput,producer-service-1_latency,average_latency
2021-04-14T17:54:17.000Z,3111,3111,0.772420443587271,0.772420443587271
2021-04-14T17:54:18.000Z,3092,3092,0.7648771021992238,0.7648771021992238
2021-04-14T17:54:19.000Z,3062,3062,0.7704114957544089,0.7704114957544089
2021-04-14T17:54:20.000Z,3070,3070,0.7739413680781759,0.7739413680781759
2021-04-14T17:54:21.000Z,3111,3111,0.7737062037929926,0.7737062037929926
2021-04-14T17:54:22.000Z,3122,3122,0.7495195387572069,0.7495195387572069
2021-04-14T17:54:23.000Z,3090,3090,0.7679611650485437,0.7679611650485437
2021-04-14T17:54:24.000Z,3123,3123,0.7582452769772654,0.7582452769772654
2021-04-14T17:54:25.000Z,3119,3119,0.7633857005450465,0.7633857005450465
2021-04-14T17:54:26.000Z,3121,3121,0.7523229734059597,0.7523229734059597
2021-04-14T17:54:27.000Z,3067,3067,0.7779589175089664,0.7779589175089664
2021-04-14T17:54:28.000Z,3093,3093,0.7571936631102489,0.7571936631102489
2021-04-14T17:54:29.000Z,3108,3108,0.7763835263835264,0.7763835263835264
2021-04-14T17:54:30.000Z,3093,3093,0.7542838667959909,0.7542838667959909
2021-04-14T17:54:31.000Z,3068,3068,0.7640156453715776,0.7640156453715776
2021-04-14T17:54:32.000Z,3095,3095,0.7583198707592892,0.7583198707592892
2021-04-14T17:54:33.000Z,3083,3083,0.7635420045410315,0.7635420045410315
2021-04-14T17:54:34.000Z,3085,3085,0.7769854132901135,0.7769854132901135
2021-04-14T17:54:35.000Z,3086,3086,0.7657161373946857,0.7657161373946857
2021-04-14T17:54:36.000Z,3104,3104,0.7522551546391752,0.7522551546391752
2021-04-14T17:54:37.000Z,3080,3080,0.7668831168831168,0.7668831168831168
2021-04-14T17:54:38.000Z,3079,3079,0.7531666125365378,0.7531666125365378
2021-04-14T17:54:39.000Z,3111,3111,0.7576342012214722,0.7576342012214722
2021-04-14T17:54:40.000Z,3111,3111,0.7450980392156863,0.7450980392156863
2021-04-14T17:54:41.000Z,3103,3103,0.76603287141476,0.76603287141476
2021-04-14T17:54:42.000Z,3120,3120,0.7512820512820513,0.7512820512820513
2021-04-14T17:54:43.000Z,3107,3107,0.7515288059221114,0.7515288059221114
2021-04-14T17:54:44.000Z,3094,3094,0.7608274078862314,0.7608274078862314
2021-04-14T17:54:45.000Z,3130,3130,0.765814696485623,0.765814696485623
2021-04-14T17:54:46.000Z,3121,3121,0.743671900032041,0.743671900032041
2021-04-14T17:54:47.000Z,3110,3110,0.7514469453376206,0.7514469453376206
